dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,1.0,Baseline-Half,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,1.0,Baseline-Full,9,227,1.0,236.4821454882621,0.0357142686843872
Wine,0.0,Distill-S,9,299,0.9642857313156128,285.66071708500385,0.0357142686843872
Wine,0.2,Distill-S,9,299,1.0,292.42857088148594,0.0
Wine,0.4,Distill-S,9,269,1.0,282.74999959766865,-0.0175438596491228
Wine,0.6,Distill-S,9,269,1.0,282.6071424037218,0.0
Wine,0.8,Distill-S,9,299,1.0,292.2857134491205,0.0
Wine,1.0,Distill-S,9,299,0.9642857313156128,283.37500317394733,0.0357142686843872
Wine,0.0,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,0.0,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,0.2,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,0.2,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,0.4,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,0.4,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,0.6,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,0.6,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,0.8,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,0.8,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,1.0,Baseline-Half,10,67,0.9285714030265808,77.07142790406942,0.0714285969734191
Wine,1.0,Baseline-Full,10,45,0.9285714030265808,58.285713382065296,0.0714285969734191
Wine,0.0,Distill-S,10,299,0.9285714030265808,273.2499943897128,0.0714285969734191
Wine,0.2,Distill-S,10,186,0.9642857313156128,194.26785948127508,0.0357142686843872
Wine,0.4,Distill-S,10,65,0.9285714030265808,75.1785708591342,0.0714285969734191
Wine,0.6,Distill-S,10,65,0.9285714030265808,75.28571366518736,0.0714285969734191
Wine,0.8,Distill-S,10,66,0.9285714030265808,76.035713724792,0.0714285969734191
Wine,1.0,Distill-S,10,81,0.9285714030265808,90.10714190453292,0.0714285969734191
Wine,0.0,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,0.0,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,0.2,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,0.2,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,0.4,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,0.4,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,0.6,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,0.6,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,0.8,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,0.8,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,1.0,Baseline-Half,11,299,1.0,294.87499998509884,0.0
Wine,1.0,Baseline-Full,11,299,1.0,296.6250001192093,0.0
Wine,0.0,Distill-S,11,299,0.9642857313156128,287.6428603976965,0.0357142686843872
Wine,0.2,Distill-S,11,299,1.0,294.66071413457394,0.0
Wine,0.4,Distill-S,11,170,0.9642857313156128,180.4285737723112,0.0357142686843872
Wine,0.6,Distill-S,11,214,1.0,229.94642858207223,0.0
Wine,0.8,Distill-S,11,202,1.0,217.87499998509884,0.0
Wine,1.0,Distill-S,11,299,1.0,294.87499998509884,0.0
Wine,0.0,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,0.0,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
Wine,0.2,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,0.2,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
Wine,0.4,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,0.4,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
Wine,0.6,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,0.6,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
Wine,0.8,Baseline-Half,12,69,0.9642857313156128,80.12500106543303,0.0357142686843872
Wine,0.8,Baseline-Full,12,48,0.9642857313156128,63.48214377462864,0.0357142686843872
