dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
BreastCancer,0.6,Distill-S,3,19,0.9780219793319702,37.247252851724625,0.015128705599536607
BreastCancer,0.6,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.7,Baseline-Student,3,21,0.9780219793319702,39.0824176967144,0.03296703100204468
BreastCancer,0.7,Distill-S,3,23,0.9780219793319702,41.054945170879364,0.021978020668029785
BreastCancer,0.7,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.8,Baseline-Student,3,28,0.9780219793319702,45.428571581840515,0.03296703100204468
BreastCancer,0.8,Distill-S,3,32,0.9780219793319702,49.36813202500343,0.021978020668029785
BreastCancer,0.8,Baseline-Full,3,8,0.9670329689979553,27.09340664744377,0.021978020668029785
BreastCancer,0.2,Baseline-Student,4,7,0.9340659379959106,25.34615394473076,0.04395604133605957
BreastCancer,0.2,Distill-S,4,7,0.9340659379959106,25.181318789720535,0.051520394135827874
BreastCancer,0.2,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.3,Baseline-Student,4,10,0.9560439586639404,28.285714387893677,0.04395604133605957
BreastCancer,0.3,Distill-S,4,11,0.9560439586639404,29.14835175871849,0.040034472708608604
BreastCancer,0.3,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.4,Baseline-Student,4,12,0.9560439586639404,30.016483634710312,0.05494505167007446
BreastCancer,0.4,Distill-S,4,13,0.9450549483299255,30.972527593374252,0.04581263157875026
BreastCancer,0.4,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.5,Baseline-Student,4,15,0.9560439586639404,32.582417726516724,0.06593406200408936
BreastCancer,0.5,Distill-S,4,16,0.9560439586639404,33.72527486085892,0.03296703034704862
BreastCancer,0.5,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.6,Baseline-Student,4,17,0.9560439586639404,34.049450725317,0.07692307233810425
BreastCancer,0.6,Distill-S,4,18,0.9450549483299255,35.37362653017044,0.030257411199073214
BreastCancer,0.6,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.7,Baseline-Student,4,20,0.9450549483299255,36.483516693115234,0.07692307233810425
BreastCancer,0.7,Distill-S,4,23,0.9450549483299255,39.12637385725975,0.04775224382227117
BreastCancer,0.7,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.8,Baseline-Student,4,16,0.8901098966598511,31.280220061540604,0.1318681240081787
BreastCancer,0.8,Distill-S,4,16,0.8901098966598511,31.340659618377686,0.12087911367416382
BreastCancer,0.8,Baseline-Full,4,7,0.9560439586639404,25.483516573905945,0.04395604133605957
BreastCancer,0.2,Baseline-Student,5,146,1.0,165.17032971978188,0.0
BreastCancer,0.2,Distill-S,5,65,1.0,84.0384615957737,-0.006849315068493178
BreastCancer,0.2,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.3,Baseline-Student,5,299,1.0,297.84615391492844,0.0
BreastCancer,0.3,Distill-S,5,54,0.9890109896659851,72.45604404807091,0.0031458730791129597
BreastCancer,0.3,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.4,Baseline-Student,5,73,0.9890109896659851,91.04395616054535,0.021978020668029785
BreastCancer,0.4,Distill-S,5,248,0.9890109896659851,262.6098904311657,0.006422800288352737
BreastCancer,0.4,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.5,Baseline-Student,5,54,0.9890109896659851,72.31318691372871,0.010989010334014893
BreastCancer,0.5,Distill-S,5,79,0.9780219793319702,96.39560455083847,0.01648351517352431
BreastCancer,0.5,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.6,Baseline-Student,5,33,0.9780219793319702,50.72527486085892,0.021978020668029785
BreastCancer,0.6,Distill-S,5,37,0.9670329689979553,54.11538478732109,0.0261177159335515
BreastCancer,0.6,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.7,Baseline-Student,5,36,0.9780219793319702,53.18681335449219,0.021978020668029785
BreastCancer,0.7,Distill-S,5,37,0.9670329689979553,53.66483536362648,0.02387612191113564
BreastCancer,0.7,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.8,Baseline-Student,5,48,0.9560439586639404,63.07692337036133,0.04395604133605957
BreastCancer,0.8,Distill-S,5,110,0.9560439586639404,122.0329675078392,0.04395604133605957
BreastCancer,0.8,Baseline-Full,5,299,1.0,298.35714289546013,0.0
BreastCancer,0.2,Baseline-Student,6,24,0.9780219793319702,42.64835172891617,0.03296703100204468
BreastCancer,0.2,Distill-S,6,23,0.9450549483299255,40.4175825715065,0.03097244893034845
BreastCancer,0.2,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.3,Baseline-Student,6,19,0.9890109896659851,37.82417589426041,0.03296703100204468
BreastCancer,0.3,Distill-S,6,19,0.9450549483299255,36.63186827301979,0.03141563990536855
BreastCancer,0.3,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.4,Baseline-Student,6,22,0.9780219793319702,40.45604404807091,0.028400820956382522
BreastCancer,0.4,Distill-S,6,21,0.9450549483299255,38.53296718001366,0.02569120115341117
BreastCancer,0.4,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.5,Baseline-Student,6,26,0.9670329689979553,44.28021988272667,0.03296703100204468
BreastCancer,0.5,Distill-S,6,25,0.9450549483299255,42.27472543716431,0.03296702969205245
BreastCancer,0.5,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.6,Baseline-Student,6,31,0.9780219793319702,49.16483527421951,0.03296703100204468
BreastCancer,0.6,Distill-S,6,27,0.9670329689979553,44.296703457832336,0.03439710646459504
BreastCancer,0.6,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.7,Baseline-Student,6,31,0.9890109896659851,48.90659353137016,0.03296703100204468
BreastCancer,0.7,Distill-S,6,30,0.9670329689979553,47.42307707667351,0.0056943037293174514
BreastCancer,0.7,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.8,Baseline-Student,6,75,0.9780219793319702,90.82967057824135,0.04395604133605957
BreastCancer,0.8,Distill-S,6,73,0.9670329689979553,88.12087941169739,0.0055697707280720765
BreastCancer,0.8,Baseline-Full,6,22,0.9670329689979553,40.25274735689163,0.03296703100204468
BreastCancer,0.2,Baseline-Student,7,18,0.9780219793319702,36.75824183225632,0.018553363133783196
BreastCancer,0.2,Distill-S,7,46,0.9780219793319702,64.43406602740288,0.02269305839930491
BreastCancer,0.2,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.3,Baseline-Student,7,17,0.9780219793319702,35.79120886325836,0.014134883413127852
BreastCancer,0.3,Distill-S,7,60,0.9780219793319702,78.42857152223587,0.010213314785676886
BreastCancer,0.3,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.4,Baseline-Student,7,20,0.9780219793319702,38.68131875991821,0.028400820956382522
BreastCancer,0.4,Distill-S,7,70,0.9890109896659851,88.39010998606682,-0.0027096198029714635
BreastCancer,0.4,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.5,Baseline-Student,7,17,0.9670329689979553,35.51098909974098,0.03296703100204468
BreastCancer,0.5,Distill-S,7,111,0.9890109896659851,128.76373639702797,-6.549960573920544e-10
BreastCancer,0.5,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.6,Baseline-Student,7,19,0.9890109896659851,37.697802275419235,0.015128705599536607
BreastCancer,0.6,Distill-S,7,95,0.9890109896659851,113.12087923288345,-0.0027096198029714635
BreastCancer,0.6,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.7,Baseline-Student,7,24,0.9780219793319702,42.62637370824814,0.0018981012431058542
BreastCancer,0.7,Distill-S,7,114,0.9890109896659851,131.7142858505249,-0.007192807847803295
BreastCancer,0.7,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.8,Baseline-Student,7,110,1.0,127.81868144869804,0.010989010334014893
BreastCancer,0.8,Distill-S,7,131,1.0,148.59340673685074,-0.0273972602739726
BreastCancer,0.8,Baseline-Full,7,14,0.9780219793319702,32.98351654410362,0.019230767920777048
BreastCancer,0.2,Baseline-Student,8,16,0.9560439586639404,34.64285722374916,0.018553363133783196
BreastCancer,0.2,Distill-S,8,62,1.0,79.73626387119293,-0.010273972602739767
BreastCancer,0.2,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893
BreastCancer,0.3,Baseline-Student,8,26,0.9670329689979553,44.25824186205864,0.021978020668029785
