dataset,beta,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
wine,0.8,ece_final,Distill-S vs Baseline-Student,20,0.0006046224385500013,-0.0057415972660398934,0.007964503635755849,0.8123550415039062,1.0,-0.06666666666666667,ns
breastcancer,0.2,final_gen_gap,Distill-S vs Baseline-Student,20,-0.007904937659224395,-0.013542450372486877,-0.002175034234580907,0.024209362675438408,0.2663029894298225,-0.5894736842105263,ns
breastcancer,0.3,final_gen_gap,Distill-S vs Baseline-Student,20,-0.00968756723637671,-0.016436166410060443,-0.003292340148021175,0.00889648352429338,0.1334472528644007,-0.6842105263157895,ns
breastcancer,0.4,final_gen_gap,Distill-S vs Baseline-Student,20,-0.009732048642145425,-0.015454864311435964,-0.003730744436451265,0.010981777365178172,0.1537448831124944,-0.6476190476190476,ns
breastcancer,0.5,final_gen_gap,Distill-S vs Baseline-Student,20,-0.007417582352082762,-0.014560439003692829,-4.576784748649921e-10,0.03941912801684298,0.39419128016842986,-0.5686274509803921,ns
breastcancer,0.6,final_gen_gap,Distill-S vs Baseline-Student,20,-0.011244919202099083,-0.017559836866104423,-0.004794520547945196,0.0025201064756818718,0.047882023037955565,-0.7894736842105263,*
breastcancer,0.7,final_gen_gap,Distill-S vs Baseline-Student,20,-0.012027971798723367,-0.01695304659279907,-0.0072727272727272545,0.0008401770128207805,0.01848389428205717,-0.9215686274509803,*
breastcancer,0.8,final_gen_gap,Distill-S vs Baseline-Student,20,-0.011387926748354137,-0.018523256909357345,-0.004666566113903101,0.002932905445052048,0.04985939256588482,-0.9340659340659341,*
digits,0.2,final_gen_gap,Distill-S vs Baseline-Student,20,0.004266405364741446,1.6577344873682445e-05,0.008446116640515961,0.06372261047363281,0.5097808837890625,0.47619047619047616,ns
digits,0.3,final_gen_gap,Distill-S vs Baseline-Student,20,0.0026405039152003103,-0.0033330667413169666,0.008167171920771165,0.2305126190185547,1.0,0.3142857142857143,ns
digits,0.4,final_gen_gap,Distill-S vs Baseline-Student,20,-0.0031515491440676042,-0.007652227511440451,0.001378061206660421,0.20244979858398438,1.0,-0.3333333333333333,ns
digits,0.5,final_gen_gap,Distill-S vs Baseline-Student,20,-0.008874720791111814,-0.013489786092094742,-0.004258748163606797,0.002712249755859375,0.04882049560546875,-0.7333333333333333,*
digits,0.6,final_gen_gap,Distill-S vs Baseline-Student,20,-0.013971371754356015,-0.019284201471701866,-0.008679370860690629,0.0005927619658566589,0.014226287180559814,-0.8761904761904762,*
digits,0.7,final_gen_gap,Distill-S vs Baseline-Student,20,-0.013060151571812803,-0.018807795959970192,-0.00690549157149545,0.002200013062890384,0.044000261257807684,-0.780952380952381,*
digits,0.8,final_gen_gap,Distill-S vs Baseline-Student,20,-0.02085820016653641,-0.02730120633153812,-0.01502272101200144,1.9073486328125e-06,5.340576171875e-05,-1.0,***
glass,0.2,final_gen_gap,Distill-S vs Baseline-Student,20,-0.08764706224203107,-0.12417179242995646,-0.050453207346526044,0.0003948211669921875,0.009870529174804688,-0.8380952380952381,**
