key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('glass', 'cap', (64, 32), 4)",60,0.5588235259056091,42.39705929160118,0.19437337699143786,0.782608695652174,0.5882353186607361,81,0.6976744186046512,0.6744186046511628,0.9787695407867432,1.0173219442367554,0.11627611795137097,0.19442619833835337,0.8782973885536194,0.6787477731704712,0.6511627906976745
"('glass', 'cap', (128, 64), 4)",12,0.4117647111415863,15.08823561668396,0.1078431407610575,0.6666666666666666,0.5588235259056091,33,0.5581395348837209,0.627906976744186,1.3735394477844238,1.0619770288467407,0.2354141785654911,0.12262407153151758,1.6457464694976807,0.3227253258228302,0.6046511627906976
"('glass', 'cap', (32, 16), 5)",70,0.5588235259056091,44.02941244095564,0.15089511612187256,0.7391304347826086,0.5882353186607361,91,0.7209302325581395,0.7441860465116279,0.9223427772521973,0.9081251621246338,0.1457048210986825,0.10751211088757182,0.8628667593002319,0.6508073806762695,0.6511627906976745
"('glass', 'cap', (64, 32), 5)",234,0.6764705777168274,151.8382361754775,0.14961637880491174,0.8260869565217391,0.6764705777168274,255,0.6744186046511628,0.6744186046511628,0.9619407057762146,1.0114200115203857,0.18893185049988503,0.2233191437499468,0.4810599982738495,0.8248018622398376,0.7209302325581395
"('glass', 'cap', (128, 64), 5)",72,0.6470588445663452,48.55882405489683,0.06308608296988671,0.7101449275362319,0.6470588445663452,93,0.6976744186046512,0.6744186046511628,1.0523263216018677,1.0616436004638672,0.16716996528381523,0.1887172349663668,0.7939542531967163,0.6832941174507141,0.6511627906976745
"('glass', 'cap', (32, 16), 6)",80,0.5588235259056091,48.500001184642315,0.1662403811579165,0.6956521739130435,0.529411792755127,101,0.7674418604651163,0.7674418604651163,0.8053650259971619,0.7644874453544617,0.11857952835947967,0.11063461040341578,0.8019087910652161,0.6731493473052979,0.7209302325581395
"('glass', 'cap', (64, 32), 6)",57,0.5,35.42647098749876,0.25404944411222485,0.7246376811594203,0.47058823704719543,78,0.7674418604651163,0.7674418604651163,0.8572645783424377,0.7919186353683472,0.15855450131172355,0.14236684386120285,0.8650361895561218,0.625371515750885,0.6976744186046512
"('glass', 'cap', (128, 64), 6)",20,0.5,16.35294134169817,0.22506393686584802,0.6956521739130435,0.47058823704719543,41,0.6976744186046512,0.6976744186046512,1.194757103919983,0.9404682517051697,0.3750033454839574,0.1532523957795875,1.499509572982788,0.3913404643535614,0.6744186046511628
"('glass', 'cap', (32, 16), 7)",53,0.5882353186607361,36.14705938845873,0.29624893786250683,0.855072463768116,0.5588235259056091,74,0.6046511627906976,0.6046511627906976,0.9700124263763428,0.9475991725921631,0.14594718259434372,0.14566789740739866,0.9616250991821289,0.586601197719574,0.7209302325581395
"('glass', 'cap', (64, 32), 7)",53,0.5882353186607361,36.26470647007227,0.26726343061613,0.8260869565217391,0.5588235259056091,74,0.6744186046511628,0.6976744186046512,0.9325941205024719,0.8992767333984375,0.13302568987358449,0.12988045465114503,0.9364909529685974,0.611166775226593,0.6511627906976745
