dataset,beta,group,seed,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc,teacher_ece,teacher_conf_mean,teacher_entropy_mean,teacher_soft_entropy,teacher_soft_conf,agreement_overlap,agreement_nonoverlap
breastcancer,0.7,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.8,Baseline-Full,8,24,0.9890109896659851,42.86263743042946,0.010989010334014893,1.0,0.9890109896659851,45,0.9649122807017544,0.9649122807017544,0.12102003395557404,0.18889763951301575,0.024679367479525108,0.030412825053198294,0.06228668987751007,0.9749558568000793,,,,,,,,
breastcancer,0.2,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.3,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.4,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.5,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.6,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.7,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.8,Baseline-Full,9,13,0.9780219793319702,31.549450635910034,0.03296703100204468,1.0,0.9670329689979553,34,0.956140350877193,0.9649122807017544,0.12076887488365173,0.17023122310638428,0.030122096078437643,0.024303465558771473,0.06957066059112549,0.9720595479011536,,,,,,,,
breastcancer,0.2,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.3,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.4,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.5,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.6,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.7,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.8,Baseline-Full,10,7,0.9670329689979553,26.087912142276764,0.021978020668029785,1.0,0.9780219793319702,28,0.9649122807017544,0.9649122807017544,0.1089043915271759,0.1565304696559906,0.03550369279426442,0.037048543231529056,0.09696165472269058,0.9627618193626404,,,,,,,,
breastcancer,0.2,Baseline-Full,11,12,0.9780219793319702,31.20329675078392,0.01648351517352431,0.9945054945054945,0.9780219793319702,33,0.9736842105263158,0.9649122807017544,0.09137015789747238,0.08625651150941849,0.03564554139187457,0.02360293582866063,0.09890767931938171,0.9612365365028381,,,,,,,,
breastcancer,0.3,Baseline-Full,11,12,0.9780219793319702,31.20329675078392,0.01648351517352431,0.9945054945054945,0.9780219793319702,33,0.9736842105263158,0.9649122807017544,0.09137015789747238,0.08625651150941849,0.03564554139187457,0.02360293582866063,0.09890767931938171,0.9612365365028381,,,,,,,,
breastcancer,0.4,Baseline-Full,11,12,0.9780219793319702,31.20329675078392,0.01648351517352431,0.9945054945054945,0.9780219793319702,33,0.9736842105263158,0.9649122807017544,0.09137015789747238,0.08625651150941849,0.03564554139187457,0.02360293582866063,0.09890767931938171,0.9612365365028381,,,,,,,,
breastcancer,0.5,Baseline-Full,11,12,0.9780219793319702,31.20329675078392,0.01648351517352431,0.9945054945054945,0.9780219793319702,33,0.9736842105263158,0.9649122807017544,0.09137015789747238,0.08625651150941849,0.03564554139187457,0.02360293582866063,0.09890767931938171,0.9612365365028381,,,,,,,,
breastcancer,0.6,Baseline-Full,11,12,0.9780219793319702,31.20329675078392,0.01648351517352431,0.9945054945054945,0.9780219793319702,33,0.9736842105263158,0.9649122807017544,0.09137015789747238,0.08625651150941849,0.03564554139187457,0.02360293582866063,0.09890767931938171,0.9612365365028381,,,,,,,,
