key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('wine', 'sens-LS', 0.05, 2)",70,1.0,87.91071429848671,0.0,1.0,1.0,91,0.9722222222222222,0.9722222222222222,0.10472704470157623,0.09541145712137222,0.04885666403505537,0.08027036322487724,0.24902063608169556,0.923365592956543,
"('wine', 'sens-LS', 0.1, 2)",57,1.0,74.91071429848671,0.0,1.0,1.0,78,0.9722222222222222,0.9722222222222222,0.14738024771213531,0.1365286111831665,0.1220910499493281,0.11675032642152575,0.3641217350959778,0.885080099105835,
"('wine', 'sens-LS', 0.2, 2)",42,1.0,59.91071429848671,0.0,1.0,1.0,63,0.9722222222222222,0.9722222222222222,0.229640930891037,0.218601256608963,0.15525911500056583,0.1562847958670722,0.5373592972755432,0.8169630765914917,
"('wine', 'sens-LS', 0.3, 2)",37,1.0,54.946428686380386,0.0,1.0,1.0,58,0.9722222222222222,0.9722222222222222,0.3066304624080658,0.2978633940219879,0.21715761886702642,0.21952867756287256,0.6725351214408875,0.7550646662712097,
"('wine', 'sens-KD', 1.0, 0.3, 2)",258,1.0,274.9107142984867,0.0,1.0,1.0,278,0.9722222222222222,0.9722222222222222,0.06105313077569008,0.05982869118452072,0.02528783513440026,0.024680034981833562,0.07793940603733063,0.9757697582244873,0.9722222222222222
"('wine', 'sens-KD', 1.0, 0.5, 2)",205,1.0,222.76785710453987,0.0,1.0,1.0,226,0.9722222222222222,0.9722222222222222,0.07025784999132156,0.0688791424036026,0.03416375484731462,0.0444658531083001,0.09223978221416473,0.9717271327972412,0.9722222222222222
"('wine', 'sens-KD', 1.0, 0.7, 2)",176,1.0,193.62499997019768,-0.01754385964912286,0.9824561403508771,1.0,197,0.9722222222222222,0.9722222222222222,0.07763701677322388,0.07593627274036407,0.04975219236479865,0.049049304591284856,0.10473605990409851,0.9679222106933594,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.3, 2)",78,1.0,95.66071429848671,0.0,1.0,1.0,99,0.9722222222222222,0.9722222222222222,0.08141282200813293,0.0745009332895279,0.051602517565091446,0.04926178024874793,0.10308440774679184,0.9665178656578064,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.5, 2)",68,1.0,85.51785722374916,-0.01754385964912286,0.9824561403508771,1.0,89,0.9722222222222222,0.9722222222222222,0.08991746604442596,0.08141902089118958,0.05547835926214854,0.043618265125486576,0.10945028811693192,0.9641170501708984,0.9722222222222222
"('wine', 'sens-KD', 2.0, 0.7, 2)",63,1.0,80.08928546309471,-0.01754385964912286,0.9824561403508771,1.0,84,0.9722222222222222,0.9722222222222222,0.09677410870790482,0.08878439664840698,0.04396527840031517,0.04475820064544678,0.1151418685913086,0.9617056250572205,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.3, 2)",58,1.0,75.6964285671711,0.0,1.0,1.0,79,0.9722222222222222,0.9722222222222222,0.09098073840141296,0.08030929416418076,0.05683021578523848,0.04346393048763275,0.1084926426410675,0.9621689915657043,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.5, 2)",53,1.0,70.42857149243355,-0.01754385964912286,0.9824561403508771,1.0,74,0.9722222222222222,0.9722222222222222,0.09850674867630005,0.08804752677679062,0.060764845874574445,0.059567585587501526,0.11529946327209473,0.9590551853179932,0.9722222222222222
"('wine', 'sens-KD', 4.0, 0.7, 2)",52,1.0,69.28571435809135,-0.01754385964912286,0.9824561403508771,1.0,73,0.9722222222222222,0.9722222222222222,0.10164915770292282,0.09311684966087341,0.06178532375229729,0.06260327332549624,0.11576661467552185,0.9585793614387512,0.9722222222222222
"('wine', 'sens-LS', 0.05, 3)",68,1.0,83.03571447730064,0.0,1.0,1.0,89,1.0,1.0,0.05633930489420891,0.05763503536581993,0.049916245871120035,0.050607624981138445,0.1851932555437088,0.9500837326049805,
"('wine', 'sens-LS', 0.1, 3)",52,1.0,67.1428574025631,0.0,1.0,1.0,73,1.0,1.0,0.09857490658760071,0.0996621623635292,0.08797620650794771,0.08895588831769095,0.31116893887519836,0.9120237827301025,
"('wine', 'sens-LS', 0.2, 3)",43,1.0,58.25000020861626,0.0,1.0,1.0,64,0.9722222222222222,0.9722222222222222,0.18573637306690216,0.19109109044075012,0.15951187908649442,0.16453463418616188,0.5111609101295471,0.8380004167556763,
"('wine', 'sens-LS', 0.3, 3)",37,1.0,52.50000020861626,0.0,1.0,1.0,58,1.0,0.9722222222222222,0.27502381801605225,0.28462445735931396,0.2332889503902859,0.23763631449805367,0.6667836904525757,0.7667109966278076,
