dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
cifar10,0.2,test_loss_best,Distill-S vs Baseline-Half,20,-0.0887950450181961,-0.10136158607900143,-0.07625861808657647,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.4,test_loss_best,Distill-S vs Baseline-Half,20,-0.053610962629318235,-0.06629127852618695,-0.04162892840802669,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.6,test_loss_best,Distill-S vs Baseline-Half,20,-0.024112248420715333,-0.038405151888728145,-0.010963609591126442,0.0014324188232421875,0.0042972564697265625,-0.7714285714285715,**
cifar10,0.8,test_loss_best,Distill-S vs Baseline-Half,20,0.008331820368766785,-0.002281723693013191,0.018946859911084173,0.15364646911621094,0.3072929382324219,0.37142857142857144,ns
cifar10,1.0,test_loss_best,Distill-S vs Baseline-Half,20,-0.003136873245239258,-0.01928740181028843,0.012130614817142484,0.5216732025146484,0.5216732025146484,-0.17142857142857143,ns
cifar10,0.0,test_loss_final,Distill-S vs Baseline-Half,20,-0.652693247795105,-0.7034953624755145,-0.6048586078733206,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.2,test_loss_final,Distill-S vs Baseline-Half,20,-0.6236403942108154,-0.6723508520424366,-0.578308306336403,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.4,test_loss_final,Distill-S vs Baseline-Half,20,-0.5801239311695099,-0.6278850975632667,-0.5343422069400549,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.6,test_loss_final,Distill-S vs Baseline-Half,20,-0.5260998487472535,-0.5758339905738831,-0.4794332728534937,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,0.8,test_loss_final,Distill-S vs Baseline-Half,20,-0.4070710361003876,-0.45373909980058674,-0.36430210001766683,1.9073486328125e-06,1.1444091796875e-05,-1.0,***
cifar10,1.0,test_loss_final,Distill-S vs Baseline-Half,20,-0.09624930024147034,-0.19927694484591485,-0.0031581678986549165,0.11398696899414062,0.11398696899414062,-0.4095238095238095,ns
