key,e_star,best_val_acc,auc_val,final_gen_gap,train_acc_final,val_acc_final,n_epochs,test_acc_best,test_acc_final,test_loss_best,test_loss_final,ece_best,ece_final,entropy_mean_best,conf_mean_best,teacher_test_acc
"('breastcancer', 'sens-KD', 4.0, 0.3, 0)",16,0.9670329689979553,34.593406677246094,0.027472524852543034,0.9835164835164835,0.9560439586639404,37,0.9824561403508771,0.9912280701754386,0.03938750550150871,0.029143737629055977,0.021274247190408536,0.020916229800174112,0.05163489282131195,0.9810910224914551,1.0
"('breastcancer', 'sens-KD', 4.0, 0.5, 0)",19,0.9670329689979553,37.58241766691208,0.016483513863532084,0.9725274725274725,0.9560439586639404,40,0.9824561403508771,0.9912280701754386,0.02949109859764576,0.02399219572544098,0.016307272409137926,0.018250823543782817,0.04824255406856537,0.9807969927787781,1.0
"('breastcancer', 'sens-KD', 4.0, 0.7, 0)",160,0.9670329689979553,173.7197805941105,0.005494503529517192,0.9725274725274725,0.9670329689979553,181,0.9912280701754386,0.9912280701754386,0.022418972104787827,0.022346682846546173,0.009768252832847728,0.01004311390090407,0.03775724023580551,0.9840813279151917,1.0
"('digits', 'sens-LS', 0.05, 0)",117,0.9825783967971802,132.11324109137058,0.020905911922454834,1.0,0.9790940880775452,138,0.9694444444444444,0.975,0.15567122399806976,0.1531071662902832,0.07915500874320665,0.0848556101322174,0.48047760128974915,0.8902894854545593,
"('digits', 'sens-LS', 0.1, 0)",82,0.9790940880775452,98.01045334339142,0.017421603202819824,1.0,0.9825783967971802,103,0.9694444444444444,0.975,0.22217288613319397,0.22160275280475616,0.13012489303946498,0.1408967883222633,0.6944972276687622,0.8393195271492004,
"('digits', 'sens-LS', 0.2, 0)",62,0.9756097793579102,78.33275201916695,0.020905911922454834,1.0,0.9790940880775452,83,0.9666666666666667,0.9722222222222222,0.3442319333553314,0.34063291549682617,0.2257554395745198,0.22802108753886488,1.0418591499328613,0.7447893023490906,
"('digits', 'sens-LS', 0.3, 0)",41,0.9756097793579102,57.996515691280365,0.024390220642089844,1.0,0.9756097793579102,62,0.9694444444444444,0.9722222222222222,0.4628808796405792,0.4693675637245178,0.3085508033633232,0.31791799196766485,1.3091315031051636,0.6608937382698059,
"('digits', 'sens-KD', 1.0, 0.3, 0)",83,0.9651567935943604,97.82229915261269,0.02787458896636963,1.0,0.9721254110336304,104,0.9666666666666667,0.9666666666666667,0.10953916609287262,0.11003907769918442,0.02249603801303436,0.019451175298955715,0.11882935464382172,0.960216760635376,0.9472222222222222
"('digits', 'sens-KD', 1.0, 0.5, 0)",111,0.9686411023139954,124.66550551354885,0.015712771623030974,0.9808695652173913,0.9651567935943604,132,0.9638888888888889,0.9638888888888889,0.11758143454790115,0.11702387034893036,0.01679759265647992,0.021289007903801085,0.12820890545845032,0.9572404623031616,0.9472222222222222
"('digits', 'sens-KD', 1.0, 0.7, 0)",197,0.9616724848747253,206.97038587927818,-0.00515074574429053,0.9565217391304348,0.9616724848747253,218,0.9555555555555556,0.9583333333333334,0.12219160050153732,0.12413807213306427,0.015116188137067717,0.016770152623454746,0.13365419209003448,0.9561415910720825,0.9472222222222222
